Ambai	Ambai	Ambai
Ambel rem	Ambel (rem)	Ambel
Ansus EG	Ansus (EG)	Ansus_EG
Ansus P&D	Ansus (P&D)	Ansus_PD
Arguni	Arguni	Arguni
As ABVD	As (ABVD)	As
Biak	Biak	Biak
Biak Betew Mutus	Biak Betew (Mutus)	Biak_Betew
Biak Numfoor Mandori	Biak Numfoor (Mandori)	Biak_Numfor
Biga rem	Biga (rem)	Biga
Buli	Buli	Buli
Cebuano	Cebuano	Cebuano_outgroup
Dusner	Dusner	Dusner
Fiawat fiawat	Fiawat (fiawat)	Fiawat
Gane	Gane	Gane
Gebe	Gebe	Gebe
Irarutu Mats	Irarutu (Mats)	Irarutu
Kawe rem	Kawe (rem)	Kawe
Kowiai	Kowiai	Kowiai
KURUDU	KURUDU	Kurudu
Laganyan	Laganyan	Laganyan
Ma'ya Misool	Ma'ya Misool	Maya_Misool
Ma'ya Salawati	Ma'ya Salawati	Maya_Salawati
Matbat	Matbat	Matbat
Moor	Moor	Moor
PCEMP	PCEMP	Proto_Central_Eastern_Malayo_Polynesian
PMP	PMP	Proto_Malayo_Polynesian
Pom	Pom	Pom
Roon	Roon	Roon
Roswar	Roswar	Roswar
Sawai CAD	Sawai (CAD)	Sawai
Sekar ABVD	Sekar (ABVD)	Sekar
Serewen	Serewen	Serewen
Serui-Laut slump	Serui-Laut (slump)	Serui_Laut
Taba	Taba	Taba
Umar	Umar	Umar
WAD	WAD	Wamesa
Warembori	Warembori	Warembori
Waropen held	Waropen (held)	Waropen
Wauyai	Wauyai	Wauyai
Yaur	Yaur	Yaur
Yerisiam	Yerisiam	Yerisiam
