Grapheme	FREQUENCY	IPA	UNICODE	NOTE
^_	156	NULL	U+005f	
^		NULL		
$		NULL		
_$		NULL		
+	4	+	U+002b	
.		NULL		
				
–	1	+	U+2013	
¹	25	¹	U+00b9	
1	6	¹	U+0031	
¹²	148	¹²	U+00b9 U+00b2	
12	17	¹²	U+0031 U+0032	
¹2	1	¹²	U+00b9 U+0032	
¹²¹	8	¹²¹	U+00b9 U+00b2 U+00b9	
¹⁴	1	¹⁴	U+00b9 U+2074	
²¹	56	²¹	U+00b2 U+00b9	
21	21	²¹	U+0032 U+0031	
³	158	³	U+00b3	
3	31	³		
³¹	1	³¹	U+00b3 U+00b9	
⁴¹	17	⁴¹	U+2074 U+00b9	
41	1	⁴¹	U+0034 U+0031	
5	4	⁵	U+0035	
⁶⁵	1	NULL	U+2076 U+2075	
a	5641	a	U+0061	
a|	20	a	U+0061 U+007c	
á	366	á	U+00e1	
à	193	à	U+00e0	
â	6	â	U+00e2	
ā	26	ā	U+0101	
àh	4	à h	U+00e0 U+0068	
àhàh	1	à h à h	U+00e0 U+0068 U+00e0 U+0068	
às	5	à s	U+00e0 U+0073	
ās	2	ā s	U+0101 U+0073	
aa	12	aː	U+0061 U+0061	
b	815	b	U+0062	
bw	9	b w	U+0062 U+0077	
B	3	B/b	U+0042	
c	25	c	U+0063	
č	2	č	U+010d	
ch	1	c h	U+0063 U+0068	
d	506	d	U+0064	
d|	1	d	U+0064 U+007c	
dd	4	dd	U+0064 U+0064	
j	125	d͡ʒ	U+006a	
e	1662	e	U+0065	
e|	6	e	U+0065 U+007c	
é	264	é	U+00e9	
è	176	è	U+00e8	
ĕ	1	ĕ	U+0115	
ě	31	ě	U+011b	
ē	7	ē	U+0113	
éh	7	é h	U+00e9 U+0068	
èh	2	è h	U+00e8 U+0068	
és	3	é s	U+00e9 U+0073	
ès	1	è s	U+00e8 U+0073	
ěs	7	ě s	U+011b U+0073	
ēs	1	ē s	U+0113 U+0073	
èw	1	è w	U+00e8 U+0077	
ee	4	eː	U+0065 U+0065	
eː	1	eː	U+0065 U+02d0	
ə	159	ə	U+0259	
ə|	14	ə	U+0259 U+007c	
ɛ	168	ɛ	U+025b	
f	459	ɸ	U+0066	
fs	2	ɸ s	U+0066 U+0073	
ff	1	ɸɸ	U+0066 U+0066	
g	353	g	U+0067	
gg	25	gg	U+0067 U+0067	
gw	48	gʷ		
gh	11	ɣ	U+0067 U+0068	
h	340	h	U+0068	
i	2489	i	U+0069	
i|	2	i	U+0069 U+007c	
í	159	í	U+00ed	
ì	77	ì	U+00ec	
î	23	î	U+00ee	
ï	9	ï	U+00ef	
ī	2	ī	U+012b	
ìh	2	ì h	U+00ec U+0068	
ïs	1	ï s	U+00ef U+0073	
ii	1	iː	U+0069 U+0069	
íí	1	íː	U+00ed U+00ed	
_		_		
y	490	j	U+0079	
y|	1	j	U+0079 U+007c	
ý	1	j	U+00fd	
ǰ	2	ǰ	U+01f0	
ɟ	7	ɟ	U+025f	
k	1215	k	U+006b	
k|	1	k	U+006b U+007c	
