ID	DOCULECT	DOCULECT_OLD	CONCEPT	LANGID	VALUE	FORM	COG	TOKENS	COGID	SEGMENTS	SONARS	PROSTRINGS	CLASSES	NUMBERS	WEIGHTS	IPA	DUPLICATES	LEXSTATID	ALIGNMENT
1	Cebuano_outgroup	Cebuano	1pl incl		kita	kita	1pl incl-1	k i t a	2	k i t a	1 7 1 7	AXBZ	KITA	.K.C .I.V .T.C .A.V	2.0 1.5 1.75 0.8	kita	0	1	- - - k i t a
4	Wamesa	WAD	1pl incl	30	tata	tata	1pl incl-1	t a t a	2	t a t a	1 7 1 7	AXBZ	TATA	30.T.C 30.A.V 30.T.C 30.A.V	2.0 1.5 1.75 0.8	tata	0	3	t a t - - a
5	Ambai	Ambai	1pl incl	31	tata	tata	1pl incl-1	t a t a	2	t a t a	1 7 1 7	AXBZ	TATA	31.T.C 31.A.V 31.T.C 31.A.V	2.0 1.5 1.75 0.8	tata	0	3	t a t - - a
6	Ansus_PD	Ansus (P&D)	1pl incl	33	tata	tata	1pl incl-1	t a t a	2	t a t a	1 7 1 7	AXBZ	TATA	33.T.C 33.A.V 33.T.C 33.A.V	2.0 1.5 1.75 0.8	tata	0	3	t a t - - a
7	Pom	Pom	1pl incl		tatoru	tatoru	1pl incl-	t a t o r u	1	t a t o r u	1 7 1 7 5 7	AXBYBZ	TATURY	.T.C .A.V .T.C .U.V .R.C .Y.V	2.0 1.5 1.75 1.3 1.75 0.8	tatoru	0	3	t a t o r u
8	Serui_Laut	Serui-Laut (slump)	1pl incl	53	tata	tata	1pl incl-1	t a t a	2	t a t a	1 7 1 7	AXBZ	TATA	53.T.C 53.A.V 53.T.C 53.A.V	2.0 1.5 1.75 0.8	tata	0	3	t a t - - a
9	Kurudu	KURUDU	1pl incl	69	ami	ami	1pl incl-	a m i	1	a m i	7 4 7	XBZ	AMI	69.A.V 69.M.C 69.I.V	1.5 1.75 0.8	ami	0	9	a m i
10	Biak	Biak	1pl incl	36	ko	ko	1pl incl-1	k o	2	k o	1 7	AX	KU	36.K.C 36.U.V	2.0 1.5	ko	0	6	k o -
11	Biak_Betew	Biak Betew (Mutus)	1pl incl		ko	ko	1pl incl-	k o	1	k o	1 7	AX	KU	.K.C .U.V	2.0 1.5	ko	0	1	- - - k o - -
12	Biak_Numfor	Biak Numfoor (Mandori)	1pl incl		ko	ko	1pl incl-	k o	1	k o	1 7	AX	KU	.K.C .U.V	2.0 1.5	ko	0	1	- - - k o - -
13	Roswar	Roswar	1pl incl	70	kon	kon	1pl incl-	k o n	1	k o n	1 7 4	AXN	KUN	70.K.C 70.U.V 70.N.c	2.0 1.5 0.8	kon	1	6	k o n
14	Roon	Roon	1pl incl		kon	kon	1pl incl-	k o n	1	k o n	1 7 4	AXN	KUN	.K.C .U.V .N.c	2.0 1.5 0.8	kon	0	1	- - - k o n -
15	Dusner	Dusner	1pl incl	39	ndoen	ndoen	1pl incl-39	n d o e n	5	n d o e n	4 1 7 7 4	ACYYN	NTUEN	39.N.C 39.T.C 39.U.V 39.E.V 39.N.c	2.0 1.5 1.3 1.3 0.8	ndoen	0	12	n d o e n
16	Arguni	Arguni	1pl incl	34	ite	ite	1pl incl-1	i t e	2	i t e	7 1 7	XBZ	ITE	34.I.V 34.T.C 34.E.V	1.5 1.75 0.8	ite	0	4	i t e
17	As	As (ABVD)	1pl incl	35	ti	ti	1pl incl-35	t i	4	t i	1 7	AX	TI	35.T.C 35.I.V	2.0 1.5	ti	0	2	t i - - -
18	Biga	Biga (rem)	1pl incl	37	itba	itba	1pl incl-1	i t b a	2	i t b a	7 1 1 7	XMBZ	ITPA	37.I.V 37.T.c 37.P.C 37.A.V	1.5 1.1 1.75 0.8	itba	0	5	- i t b a
19	Buli	Buli	1pl incl	38	ite	ite	1pl incl-1	i t e	2	i t e	7 1 7	XBZ	ITE	38.I.V 38.T.C 38.E.V	1.5 1.75 0.8	ite	0	4	i t e
20	Fiawat	Fiawat (fiawat)	1pl incl	40	atne	atne	1pl incl-2	a t n e	3	a t n e	7 1 4 7	XBCZ	ATNE	40.A.V 40.T.C 40.N.C 40.E.V	1.5 1.75 1.5 0.8	atne	0	2	- a t n e
21	Gane	Gane	1pl incl	41	kit	kit	1pl incl-1	k i t	2	k i t	1 7 1	AXN	KIT	41.K.C 41.I.V 41.T.c	2.0 1.5 0.8	kit	0	5	k i t - -
22	Gebe	Gebe	1pl incl	42	itne	itne	1pl incl-1	i t n e	2	i t n e	7 1 4 7	XBCZ	ITNE	42.I.V 42.T.C 42.N.C 42.E.V	1.5 1.75 1.5 0.8	itne	0	2	- i t n e
23	Kawe	Kawe (rem)	1pl incl	44	ta'fata, titne	ta'fata	1pl incl-1	t a ʔ ɸ a t a	2	t a ʔ ɸ a t a	1 7 1 3 7 1 7	AXBCYBZ	TAHBATA	44.T.C 44.A.V 44.H.C 44.B.C 44.A.V 44.T.C 44.A.V	2.0 1.5 1.75 1.5 1.3 1.75 0.8	taʔɸata	0	10	t a ʔ ɸ a t a
24	Kowiai	Kowiai	1pl incl	45	íta	íta	1pl incl-1	í t a	2	í t a	7 1 7	XBZ	ITA	45.I.V 45.T.C 45.A.V	1.5 1.75 0.8	íta	0	4	í t a
25	Laganyan	Laganyan	1pl incl	46	itne	itne	1pl incl-1	i t n e	2	i t n e	7 1 4 7	XBCZ	ITNE	46.I.V 46.T.C 46.N.C 46.E.V	1.5 1.75 1.5 0.8	itne	0	2	- i t n e
26	Irarutu	Irarutu (Mats)	1pl incl	43	it	it	1pl incl-1	i t	2	i t	7 1	XN	IT	43.I.V 43.T.c	1.5 0.8	it	0	11	i t
27	Ambel	Ambel (rem)	1pl incl	32	isne	isne	1pl incl-1	i s n e	2	i s n e	7 3 4 7	XBCZ	ISNE	32.I.V 32.S.C 32.N.C 32.E.V	1.5 1.75 1.5 0.8	isne	0	2	- i s n e
28	Matbat	Matbat	1pl incl	47	ya¹²t	ya¹²t	1pl incl-2	j ¹²/a t	3	j a t	6 7 1	AXN	JAT	47.J.C 47.A.V 47.T.c	2.0 1.5 0.8	jat	0	5	j ¹²/a t - -
29	Maya_Misool	Ma'ya Misool	1pl incl	48	akne	akne	1pl incl-2	a k n e	3	a k n e	7 1 4 7	XBCZ	AKNE	48.A.V 48.K.C 48.N.C 48.E.V	1.5 1.75 1.5 0.8	akne	0	2	- a k n e
30	Maya_Salawati	Ma'ya Salawati	1pl incl	49	akne	akne	1pl incl-2	a k n e	3	a k n e	7 1 4 7	XBCZ	AKNE	49.A.V 49.K.C 49.N.C 49.E.V	1.5 1.75 1.5 0.8	akne	0	2	- a k n e
31	Sawai	Sawai (CAD)	1pl incl	51	it	it	1pl incl-1	i t	2	i t	7 1	XN	IT	51.I.V 51.T.c	1.5 0.8	it	0	5	- i t - -
32	Sekar	Sekar (ABVD)	1pl incl	52	ita	ita	1pl incl-1	i t a	2	i t a	7 1 7	XBZ	ITA	52.I.V 52.T.C 52.A.V	1.5 1.75 0.8	ita	0	4	i t a
33	Taba	Taba	1pl incl	54	tit	tit	1pl incl-1	t i t	2	t i t	1 7 1	AXN	TIT	54.T.C 54.I.V 54.T.c	2.0 1.5 0.8	tit	0	3	t i t - - -
34	Wauyai	Wauyai	1pl incl	58	titne	titne	1pl incl-1	t i t n e	2	t i t n e	1 7 1 4 7	AXBCZ	TITNE	58.T.C 58.I.V 58.T.C 58.N.C 58.E.V	2.0 1.5 1.75 1.5 0.8	titne	0	2	t i t n e
35	Waropen	Waropen (held)	1pl incl	57	iko	iko	1pl incl-1	i k o	2	i k o	7 1 7	XBZ	IKU	57.I.V 57.K.C 57.U.V	1.5 1.75 0.8	iko	0	1	- - i k o - -
36	Umar	Umar	1pl incl	55	ete	ete	1pl incl-1	e t e	2	e t e	7 1 7	XBZ	ETE	55.E.V 55.T.C 55.E.V	1.5 1.75 0.8	ete	0	4	e t e
37	Yaur	Yaur	1pl incl	59	o'	o'	1pl incl-1	o ʔ	2	o ʔ	7 1	XN	UH	59.U.V 59.H.c	1.5 0.8	oʔ	0	7	o ʔ
38	Yerisiam	Yerisiam	1pl incl	60	néeké	néeké	1pl incl-1	n é e k é	2	n é e k é	4 7 7 1 7	AXYBZ	NEEKE	60.N.C 60.E.V 60.E.V 60.K.C 60.E.V	2.0 1.5 1.3 1.75 0.8	néeké	0	1	n é e k é - -
39	Moor	Moor	1pl incl	50	í'a	í'a	1pl incl-1	í ʔ a	2	í ʔ a	7 1 7	XBZ	IHA	50.I.V 50.H.C 50.A.V	1.5 1.75 0.8	íʔa	0	8	í ʔ a
