ID	DOCULECT	CONCEPT	LANGID	VALUE	FORM	COG	COGID	TOKENS
1	PCEMP	1pl incl	67	k-ita	k-ita	1pl incl-1	2	k i t a
2	PMP	1pl incl	68	kita	kita	1pl incl-1	2	k i t a
3	WAD	1pl incl	30	tata	tata	1pl incl-1	2	t a t a
4	Ambai	1pl incl	31	tata	tata	1pl incl-1	2	t a t a
5	Ansus (P&D)	1pl incl	33	tata	tata	1pl incl-1	2	t a t a
6	Pom	1pl incl		tatoru	tatoru	1pl incl-	1	t a t o r u
7	Serui-Laut (slump)	1pl incl	53	tata	tata	1pl incl-1	2	t a t a
8	KURUDU	1pl incl	69	ami	ami	1pl incl-	1	a m i
9	Biak	1pl incl	36	ko	ko	1pl incl-1	2	k o
10	Biak Betew (Mutus)	1pl incl		ko	ko	1pl incl-	1	k o
11	Biak Numfoor (Mandori)	1pl incl		ko	ko	1pl incl-	1	k o
12	Roswar	1pl incl	70	kon?	kon?	1pl incl-	1	k o n ?
13	Roon	1pl incl		kon	kon	1pl incl-	1	k o n
14	Dusner	1pl incl	39	ndoen	ndoen	1pl incl-39	5	n d o e n
15	Arguni	1pl incl	34	ite	ite	1pl incl-1	2	i t e
16	As (ABVD)	1pl incl	35	ti	ti	1pl incl-35	4	t i
17	Biga (rem)	1pl incl	37	itba	itba	1pl incl-1	2	i t b a
18	Buli	1pl incl	38	ite	ite	1pl incl-1	2	i t e
19	Fiawat (fiawat)	1pl incl	40	atne	atne	1pl incl-2	3	a t n e
20	Gane	1pl incl	41	kit	kit	1pl incl-1	2	k i t
21	Gebe	1pl incl	42	itne	itne	1pl incl-1	2	i t n e
22	Kawe (rem)	1pl incl	44	ta'fat(a), tit(n)e	ta'fat(a)	1pl incl-1	2	t a 'f a t ( a )
23	Kowiai	1pl incl	45	íta	íta	1pl incl-1	2	í t a
24	Laganyan	1pl incl	46	itne	itne	1pl incl-1	2	i t n e
25	Irarutu (Mats)	1pl incl	43	it	it	1pl incl-1	2	i t
26	Ambel (rem)	1pl incl	32	isne	isne	1pl incl-1	2	i s n e
27	Matbat	1pl incl	47	ya¹²t	ya¹²t	1pl incl-2	3	y a ¹² t
28	Ma'ya Misool	1pl incl	48	akne	akne	1pl incl-2	3	a k n e
29	Ma'ya Salawati	1pl incl	49	akne	akne	1pl incl-2	3	a k n e
30	Sawai (CAD)	1pl incl	51	it	it	1pl incl-1	2	i t
31	Sekar (ABVD)	1pl incl	52	ita	ita	1pl incl-1	2	i t a
32	Taba	1pl incl	54	tit	tit	1pl incl-1	2	t i t
33	Wauyai	1pl incl	58	titne	titne	1pl incl-1	2	t i t n e
34	Waropen (held)	1pl incl	57	iko	iko	1pl incl-1	2	i k o
35	Umar	1pl incl	55	ete	ete	1pl incl-1	2	e t e
36	Yaur	1pl incl	59	o'	o'	1pl incl-1	2	o '
37	Yerisiam	1pl incl	60	néeké	néeké	1pl incl-1	2	n é e k é
38	Moor	1pl incl	50	í'a	í'a	1pl incl-1	2	í 'a
39	Warembori	1pl incl	56	ki	ki	1pl incl-1	2	k i
40	PCEMP	1plexcl	67	kami	kami	1plexcl-1	7	k a m i
41	PMP	1plexcl	68	kami	kami	1plexcl-1	7	k a m i
42	WAD	1plexcl	30	ama-	ama-	1plexcl-1	7	a m a
43	Ambai	1plexcl	31	amea	amea	1plexcl-1	7	a m e a
44	Ansus (P&D)	1plexcl	33	ama	ama	1plexcl-1	7	a m a
45	Serui-Laut (slump)	1plexcl	53	ama	ama	1plexcl-1	7	a m a
46	KURUDU	1plexcl	69	nami	nami	1plexcl-	6	n a m i
47	Biak Betew (Mutus)	1plexcl		nko	nko	1plexcl-	6	n k o
48	Biak Numfoor (Mandori)	1plexcl		inggo	inggo	1plexcl-	6	i n gg o
